;id;x;y;all_vs_meas;swot_meas;river;rmse
262;18020;-93,3792;39,2294;113;84;Missouri;0,1705
263;46328;-93,4389;39,2676;89;89;Missouri;0,1751
264;46329;-93,4911;39,2249;88;88;Missouri;0,1621
265;36933;-93,5562;39,2179;81;81;Missouri;0,1576
266;36937;-93,7082;39,2076;86;86;Missouri;0,1349
267;15283;-93,7747;39,2014;24;0;Missouri;0,2979
268;41939;-93,8161;39,2129;61;61;Missouri;0,1409
269;16835;-93,8359;39,2147;20;0;Missouri;0,2802
270;46338;-93,9252;39,1651;61;61;Missouri;0,1394
271;46337;-94,0281;39,1525;72;72;Missouri;0,1708
272;22891;-94,2338;39,2205;117;88;Missouri;0,252
273;18661;-94,3133;39,2225;103;74;Missouri;0,1401
274;36942;-94,4047;39,1631;65;65;Missouri;0,1408
275;46335;-94,4684;39,1302;60;60;Missouri;0,1326
276;46336;-94,5578;39,1265;82;82;Missouri;0,1275
277;46359;-94,6026;39,1596;72;72;Missouri;0,1458
278;17455;-94,7289;39,1686;99;72;Missouri;0,1166
279;16456;-94,7596;39,1766;29;0;Missouri;0,3349
280;46360;-94,8299;39,2543;72;72;Missouri;0,1358
281;37033;-94,9;39,3001;133;69;Missouri;0,0988
282;46361;-94,9331;39,3854;74;74;Missouri;0,1052
283;46362;-95,021;39,4542;59;59;Missouri;0,0743
284;22892;-95,0785;39,5134;89;63;Missouri;0,1307
285;46363;-95,0666;39,5763;64;64;Missouri;0,1345
286;22893;-95,0285;39,6647;93;72;Missouri;0,1888
287;16457;-94,9544;39,7448;106;76;Missouri;0,1406
288;46364;-94,8741;39,7315;77;77;Missouri;0,146
289;46365;-94,877;39,8129;76;76;Missouri;0,1201
290;22894;-94,9469;39,8989;107;79;Missouri;0,1404
291;22895;-95,0063;39,9004;133;103;Missouri;0,1551
292;46366;-95,1377;39,879;98;98;Missouri;0,1435
293;41936;-95,2456;39,9464;84;84;Missouri;0,12
294;22896;-95,3716;40,0298;108;79;Missouri;0,1387
295;46367;-95,435;40,1571;61;61;Missouri;0,1149
296;46368;-95,5244;40,2502;63;63;Missouri;0,1345
297;19675;-95,6069;40,3127;83;54;Missouri;0,121
298;46389;-95,634;40,3589;31;31;Missouri;0,0894
299;18662;-95,6957;40,474;92;64;Missouri;0,161
300;46369;-95,7079;40,518;62;62;Missouri;0,1293
301;46370;-95,7639;40,5533;36;36;Missouri;0,1247
302;46371;-95,762;40,6161;34;34;Missouri;0,1092
303;46372;-95,8535;40,7026;61;61;Missouri;0,0968
304;46373;-95,8378;40,8386;64;64;Missouri;0,1351
305;19676;-95,836;40,9851;111;82;Missouri;0,2425
306;19677;-95,8677;41,078;108;78;Missouri;0,1929
307;46374;-95,8434;41,1796;83;83;Missouri;0,2154
308;19678;-95,8998;41,1853;22;0;Missouri;0,0973
309;22897;-95,921;41,187;25;0;Missouri;0,8743
310;38445;-95,9161;41,222;90;75;Missouri;0,1491
311;22898;-95,8906;41,2794;22;0;Missouri;0,2861
312;19679;-95,9508;41,3369;110;84;Missouri;0,2217
313;46375;-95,9343;41,3825;80;80;Missouri;0,3059
314;19680;-95,9967;41,4716;112;85;Missouri;0,3009
315;37295;-96,0959;41,5443;124;63;Missouri;0,3645
316;46376;-96,1129;41,6008;50;50;Missouri;0,3243
317;46378;-96,0906;41,763;61;61;Missouri;0,4941
318;19682;-96,1315;41,8614;94;64;Missouri;0,4795
319;19683;-96,1403;41,9163;88;62;Missouri;0,3778
320;19684;-96,1759;41,9794;92;62;Missouri;0,2215
321;46379;-96,2594;42,0389;34;34;Missouri;0,0614
322;46380;-96,2833;42,1245;64;64;Missouri;0,2841
323;46381;-96,3494;42,1964;64;64;Missouri;0,3998
324;46382;-96,3708;42,3111;64;64;Missouri;0,0995
325;37301;-96,4042;42,4867;88;60;Missouri;0,143
326;46383;-96,5109;42,4889;63;63;Missouri;0,4067
327;46384;-96,627;42,517;84;84;Missouri;0,579
328;46385;-96,6978;42,5932;91;91;Missouri;0,6933
329;46386;-96,7347;42,6616;94;94;Missouri;0,2169
330;14493;-97,4118;42,8649;15;0;Missouri;0,1201
331;1680;87,1244;25,295;65;0;Ganges;0,4317
332;14503;86,9375;25,3038;23;0;Ganges;1,7327
333;16784;86,8853;25,3121;76;46;Ganges;0,4536
334;46400;86,6794;25,2458;49;49;Ganges;0,302
335;46397;86,6099;25,3096;56;56;Ganges;0,5483
336;46395;86,5476;25,3685;47;47;Ganges;0,3071
337;15695;86,5001;25,4356;81;51;Ganges;0,2884
338;15089;86,3827;25,3099;54;26;Ganges;0,5632
339;12753;86,2502;25,3158;62;62;Ganges;0,2273
340;46358;86,1488;25,3407;92;92;Ganges;0,4062
341;14189;86,016;25,3586;30;0;Ganges;0,2089
342;46351;85,9481;25,4284;57;57;Ganges;0,356
343;16414;85,864;25,5086;86;57;Ganges;0,409
344;46350;85,74;25,5119;53;53;Ganges;0,3421
345;1681;85,6993;25,5005;69;0;Ganges;0,4653
346;46327;85,6445;25,4871;54;54;Ganges;0,3042
347;15336;85,5884;25,5075;27;0;Ganges;0,6917
