;id_vs;vs_chain;dt;gauge_up;dist_up;gauge_down;dist_down;lag;vs_wl;up_wl;uncertainty;g_anom;vs_anom;bias
40;23406;304032.90681462316;2024-02-19 06:43:03;151150150.0;330395.1882159967;152150130.0;289404.1355208066;11.194428078276296;55.605;4.18;0.05;1.8721052631578945;1.7930365853658472;0.07906867779204729
41;23406;304032.90681462316;2024-02-23 20:07:22;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.396816044729312;55.355;3.91;0.19;1.602105263157895;1.5430365853658472;0.05906867779204772
42;23406;304032.90681462316;2024-02-28 20:12:45;151150150.0;330395.1882159967;152150130.0;289404.1355208066;9.595224067093968;55.299;3.99;0.015;1.682105263157895;1.4870365853658498;0.19506867779204518
43;23406;304032.90681462316;2024-03-11 03:28:06;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.9298840484567545;54.685;3.17;0.05;0.8621052631578947;0.8730365853658526;0.010931322207957894
44;23406;304032.90681462316;2024-03-26 15:15:23;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.9298840484567545;54.295;2.76;0.09;0.45210526315789457;0.48303658536585203;0.030931322207957468
45;23406;304032.90681462316;2024-03-26 20:12:48;151150150.0;330395.1882159967;152150130.0;289404.1355208066;6.396816044729312;54.242;2.77;0.084;0.4621052631578948;0.43003658536584766;0.03206867779204714
46;23406;304032.90681462316;2024-04-05 13:37:29;151150150.0;330395.1882159967;152150130.0;289404.1355208066;2.665340018637213;54.205;2.82;0.09;0.5121052631578946;0.3930365853658486;0.119068677792046
47;23406;304032.90681462316;2024-04-16 12:00:29;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;53.725;2.06;0.07;-0.24789473684210517;-0.08696341463414825;0.16093132220795692
48;23406;304032.90681462316;2024-04-21 20:58:16;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;53.615;2.06;0.06;-0.24789473684210517;-0.19696341463414768;0.050931322207957486
49;23406;304032.90681462316;2024-04-22 20:12:50;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;53.534;2.02;0.032;-0.2878947368421052;-0.27796341463415075;0.009931322207954452
50;23406;304032.90681462316;2024-04-26 10:22:35;151150150.0;330395.1882159967;152150130.0;289404.1355208066;0.0;53.715;2.15;0.13;-0.1578947368421053;-0.09696341463414626;0.06093132220795905
51;23406;304032.90681462316;2024-05-17 07:07:40;151150150.0;330395.1882159967;152150130.0;289404.1355208066;9.595224067093968;53.145;1.5;0.06;-0.8078947368421052;-0.6669634146341465;0.14093132220795868
52;23406;304032.90681462316;2024-05-19 20:12:51;151150150.0;330395.1882159967;152150130.0;289404.1355208066;10.661360074548853;53.097;1.5;0.027;-0.8078947368421052;-0.7149634146341484;0.09293132220795686
53;23406;304032.90681462316;2024-06-02 14:28:25;151150150.0;330395.1882159967;152150130.0;289404.1355208066;11.194428078276296;53.055;1.44;0.05;-0.8678947368421053;-0.75696341463415;0.11093132220795532
54;23406;304032.90681462316;2024-06-15 20:12:52;151150150.0;330395.1882159967;152150130.0;289404.1355208066;9.595224067093968;53.244;1.64;0.057;-0.6678947368421053;-0.5679634146341499;0.09993132220795542
55;23406;304032.90681462316;2024-06-23 11:13:29;151150150.0;330395.1882159967;152150130.0;289404.1355208066;12.26056408573118;53.105;1.46;0.06;-0.8478947368421053;-0.7069634146341528;0.14093132220795246
